date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-02 18:35:44,2022-10-02 18:33:54,Ciro,34494,3.05,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Lula,414758,36.66,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,728,0.06,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Tebet,67291,5.95,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,273,0.02,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,718,0.06,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Bolsonaro,599126,52.95,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,191,0.02,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,7267,0.64,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,5863,0.52,4852,4.80,1541696,4.44
2022-10-02 18:35:44,2022-10-02 18:33:54,Outros,686,0.06,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,686,0.06,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,5863,0.52,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,7267,0.64,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,191,0.02,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Bolsonaro,599126,52.95,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,728,0.06,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,273,0.02,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Tebet,67291,5.95,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Lula,414758,36.66,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Ciro,34494,3.05,4852,4.80,1541696,4.44
2022-10-02 18:37:44,2022-10-02 18:33:54,Outros,718,0.06,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Bolsonaro,599126,52.95,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Outros,686,0.06,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Outros,5863,0.52,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Outros,7267,0.64,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Outros,718,0.06,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Outros,191,0.02,4852,4.80,1541696,4.44
2022-10-02 18:39:44,2022-10-02 18:33:54,Tebet,67291,5.95,4852,4.80,1541696,4.44
