date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-02 18:35:44,2022-10-02 18:33:54,4852,4.80,1541696,4.44,1195423,77.54,346273,22.46,1195423,1131395,94.64,24420,2.05,39608,3.31
2022-10-02 18:37:44,2022-10-02 18:33:54,4852,4.80,1541696,4.44,1195423,77.54,346273,22.46,1195423,1131395,94.64,24420,2.05,39608,3.31
2022-10-02 18:39:44,2022-10-02 18:33:54,4852,4.80,1541696,4.44,1195423,77.54,346273,22.46,1195423,1131395,94.64,24420,2.05,39608,3.31
2022-10-02 18:41:45,2022-10-02 18:38:17,6501,6.43,2073298,5.98,1610520,77.68,462778,22.32,1610520,1523168,94.58,33192,2.06,54160,3.36
2022-10-02 18:43:45,2022-10-02 18:41:37,8108,8.02,2582387,7.45,2008375,77.77,574012,22.23,2008375,1899631,94.59,41365,2.06,67379,3.35
2022-10-02 18:45:45,2022-10-02 18:43:48,9231,9.13,2951879,8.51,2294553,77.73,657326,22.27,2294553,2170147,94.58,47399,2.06,77007,3.36
2022-10-02 18:47:46,2022-10-02 18:43:48,9231,9.13,2951879,8.51,2294553,77.73,657326,22.27,2294553,2170147,94.58,47399,2.06,77007,3.36
2022-10-02 18:49:46,2022-10-02 18:47:07,10671,10.56,3405703,9.82,2650177,77.82,755526,22.18,2650177,2506306,94.57,54635,2.06,89236,3.37
2022-10-02 18:51:46,2022-10-02 18:47:07,10671,10.56,3405703,9.82,2650177,77.82,755526,22.18,2650177,2506306,94.57,54635,2.06,89236,3.37
2022-10-02 18:53:47,2022-10-02 18:47:07,10671,10.56,3405703,9.82,2650177,77.82,755526,22.18,2650177,2506306,94.57,54635,2.06,89236,3.37
2022-10-02 18:55:48,2022-10-02 18:47:07,10671,10.56,3405703,9.82,2650177,77.82,755526,22.18,2650177,2506306,94.57,54635,2.06,89236,3.37
2022-10-02 18:57:48,2022-10-02 18:54:51,15426,15.26,4947537,14.26,3854525,77.91,1093012,22.09,3854525,3643665,94.53,79866,2.07,130994,3.40
2022-10-02 18:59:48,2022-10-02 18:58:12,17674,17.49,5687826,16.40,4430382,77.89,1257444,22.11,4430382,4186941,94.51,91960,2.07,151481,3.42
2022-10-02 19:01:49,2022-10-02 18:58:12,17674,17.49,5687826,16.40,4430382,77.89,1257444,22.11,4430382,4186941,94.51,91960,2.07,151481,3.42
2022-10-02 19:03:49,2022-10-02 19:01:37,19964,19.75,6441108,18.57,5018649,77.92,1422459,22.08,5018649,4743246,94.51,103895,2.07,171508,3.42
2022-10-02 19:05:49,2022-10-02 19:04:00,22001,21.77,7119828,20.53,5550710,77.96,1569118,22.04,5550710,5245966,94.51,115021,2.07,189723,3.42
2022-10-02 19:07:50,2022-10-02 19:04:00,22001,21.77,7119828,20.53,5550710,77.96,1569118,22.04,5550710,5245966,94.51,115021,2.07,189723,3.42
2022-10-02 19:09:51,2022-10-02 19:07:48,25246,24.98,8193794,23.62,6389283,77.98,1804511,22.02,6389283,6037833,94.50,132508,2.07,218942,3.43
2022-10-02 19:11:51,2022-10-02 19:07:48,25246,24.98,8193794,23.62,6389283,77.98,1804511,22.02,6389283,6037833,94.50,132508,2.07,218942,3.43
2022-10-02 19:13:52,2022-10-02 19:11:43,28179,27.88,9175314,26.45,7158213,78.02,2017101,21.98,7158213,6762905,94.48,148809,2.08,246499,3.44
2022-10-02 19:15:52,2022-10-02 19:11:43,28179,27.88,9175314,26.45,7158213,78.02,2017101,21.98,7158213,6762905,94.48,148809,2.08,246499,3.44
2022-10-02 19:17:53,2022-10-02 19:14:26,30409,30.09,9932572,28.64,7750202,78.03,2182370,21.97,7750202,7322198,94.48,161079,2.08,266925,3.44
2022-10-02 19:19:53,2022-10-02 19:18:27,34501,34.13,11320983,32.64,8839375,78.08,2481608,21.92,8839375,8350793,94.47,182865,2.07,305717,3.46
2022-10-02 19:21:53,2022-10-02 19:18:27,34501,34.13,11320983,32.64,8839375,78.08,2481608,21.92,8839375,8350793,94.47,182865,2.07,305717,3.46
2022-10-02 19:23:53,2022-10-02 19:18:27,34501,34.13,11320983,32.64,8839375,78.08,2481608,21.92,8839375,8350793,94.47,182865,2.07,305717,3.46
2022-10-02 19:25:54,2022-10-02 19:22:13,38160,37.75,12571983,36.25,9819387,78.11,2752596,21.89,9819387,9276034,94.47,203003,2.06,340350,3.47
2022-10-02 19:27:54,2022-10-02 19:22:13,38160,37.75,12571983,36.25,9819387,78.11,2752596,21.89,9819387,9276034,94.47,203003,2.06,340350,3.47
2022-10-02 19:29:55,2022-10-02 19:26:59,42381,41.93,14020534,40.42,10954100,78.13,3066434,21.87,10954100,10346028,94.45,226727,2.07,381345,3.48
2022-10-02 19:31:55,2022-10-02 19:30:33,45946,45.46,15241565,43.94,11908848,78.13,3332717,21.87,11908848,11245269,94.43,247198,2.07,416381,3.50
2022-10-02 19:33:55,2022-10-02 19:30:33,45946,45.46,15241565,43.94,11908848,78.13,3332717,21.87,11908848,11245269,94.43,247198,2.07,416381,3.50
2022-10-02 19:35:56,2022-10-02 19:33:57,49475,48.95,16454053,47.44,12859626,78.15,3594427,21.85,12859626,12141383,94.41,267278,2.08,450965,3.51
2022-10-02 19:37:56,2022-10-02 19:33:57,49475,48.95,16454053,47.44,12859626,78.15,3594427,21.85,12859626,12141383,94.41,267278,2.08,450965,3.51
2022-10-02 19:39:57,2022-10-02 19:38:04,53234,52.67,17758226,51.20,13881583,78.17,3876643,21.83,13881583,13104598,94.40,288609,2.08,488376,3.52
2022-10-02 19:41:57,2022-10-02 19:38:04,53234,52.67,17758226,51.20,13881583,78.17,3876643,21.83,13881583,13104598,94.40,288609,2.08,488376,3.52
2022-10-02 19:43:58,2022-10-02 19:40:27,55294,54.71,18481692,53.28,14448475,78.18,4033217,21.82,14448475,13638620,94.39,300695,2.09,509160,3.52
2022-10-02 19:45:58,2022-10-02 19:40:27,55294,54.71,18481692,53.28,14448475,78.18,4033217,21.82,14448475,13638620,94.39,300695,2.09,509160,3.52
2022-10-02 19:47:59,2022-10-02 19:46:09,60998,60.35,20457431,58.98,15996383,78.19,4461048,21.81,15996383,15099420,94.39,332530,2.08,564433,3.53
2022-10-02 19:49:59,2022-10-02 19:46:09,60998,60.35,20457431,58.98,15996383,78.19,4461048,21.81,15996383,15099420,94.39,332530,2.08,564433,3.53
2022-10-02 19:52:00,2022-10-02 19:48:52,62934,62.27,21137333,60.94,16530334,78.20,4606999,21.80,16530334,15602522,94.39,343828,2.08,583984,3.53
2022-10-02 19:54:00,2022-10-02 19:48:52,62934,62.27,21137333,60.94,16530334,78.20,4606999,21.80,16530334,15602522,94.39,343828,2.08,583984,3.53
2022-10-02 19:56:00,2022-10-02 19:52:54,66682,65.97,22450295,64.73,17560090,78.22,4890205,21.78,17560090,16574587,94.39,365305,2.08,620198,3.53
2022-10-02 19:58:01,2022-10-02 19:52:54,66682,65.97,22450295,64.73,17560090,78.22,4890205,21.78,17560090,16574587,94.39,365305,2.08,620198,3.53
2022-10-02 20:00:01,2022-10-02 19:57:09,70624,69.87,23850659,68.76,18659948,78.24,5190711,21.76,18659948,17613645,94.39,387864,2.08,658439,3.53
2022-10-02 20:02:02,2022-10-02 19:57:09,70624,69.87,23850659,68.76,18659948,78.24,5190711,21.76,18659948,17613645,94.39,387864,2.08,658439,3.53
2022-10-02 20:04:02,2022-10-02 20:02:36,75212,74.41,25475261,73.45,19932059,78.24,5543202,21.76,19932059,18814799,94.39,414206,2.08,703054,3.53
2022-10-02 20:06:04,2022-10-02 20:02:36,75212,74.41,25475261,73.45,19932059,78.24,5543202,21.76,19932059,18814799,94.39,414206,2.08,703054,3.53
2022-10-02 20:08:04,2022-10-02 20:02:36,75212,74.41,25475261,73.45,19932059,78.24,5543202,21.76,19932059,18814799,94.39,414206,2.08,703054,3.53
2022-10-02 20:10:05,2022-10-02 20:02:36,75212,74.41,25475261,73.45,19932059,78.24,5543202,21.76,19932059,18814799,94.39,414206,2.08,703054,3.53
2022-10-02 20:12:05,2022-10-02 20:02:36,75212,74.41,25475261,73.45,19932059,78.24,5543202,21.76,19932059,18814799,94.39,414206,2.08,703054,3.53
2022-10-02 20:14:06,2022-10-02 20:11:27,82757,81.88,28156434,81.18,22038442,78.27,6117992,21.73,22038442,20801356,94.39,458906,2.08,778180,3.53
2022-10-02 20:16:07,2022-10-02 20:11:27,82757,81.88,28156434,81.18,22038442,78.27,6117992,21.73,22038442,20801356,94.39,458906,2.08,778180,3.53
2022-10-02 20:18:07,2022-10-02 20:15:16,86005,85.09,29295139,84.46,22932620,78.28,6362519,21.72,22932620,21645495,94.39,477330,2.08,809795,3.53
2022-10-02 20:20:07,2022-10-02 20:15:16,86005,85.09,29295139,84.46,22932620,78.28,6362519,21.72,22932620,21645495,94.39,477330,2.08,809795,3.53
2022-10-02 20:22:08,2022-10-02 20:19:06,88692,87.75,30264496,87.26,23695487,78.29,6569009,21.71,23695487,22364665,94.38,493518,2.09,837304,3.53
2022-10-02 20:24:09,2022-10-02 20:19:06,88692,87.75,30264496,87.26,23695487,78.29,6569009,21.71,23695487,22364665,94.38,493518,2.09,837304,3.53
2022-10-02 20:26:09,2022-10-02 20:24:07,92051,91.07,31447661,90.67,24629832,78.32,6817829,21.68,24629832,23245949,94.38,513311,2.09,870572,3.53
2022-10-02 20:28:10,2022-10-02 20:24:07,92051,91.07,31447661,90.67,24629832,78.32,6817829,21.68,24629832,23245949,94.38,513311,2.09,870572,3.53
2022-10-02 20:30:11,2022-10-02 20:28:04,94691,93.69,32402550,93.42,25381585,78.33,7020965,21.67,25381585,23954326,94.38,529977,2.08,897282,3.54
2022-10-02 20:32:11,2022-10-02 20:28:04,94691,93.69,32402550,93.42,25381585,78.33,7020965,21.67,25381585,23954326,94.38,529977,2.08,897282,3.54
2022-10-02 20:34:12,2022-10-02 20:28:04,94691,93.69,32402550,93.42,25381585,78.33,7020965,21.67,25381585,23954326,94.38,529977,2.08,897282,3.54
