date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-02 18:05:58,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:10,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:11,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:12,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:13,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:16,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:06:17,2022-10-02 17:54:54,9441,1.99,3058577,1.95,2367783,77.41,690794,22.59,2367783,2289797,96.71,31348,1.32,46638,1.97
2022-10-02 18:23:17,2022-10-02 18:22:09,25629,5.42,8010882,5.12,6308216,78.74,1702666,21.26,6308216,6085172,96.46,87129,1.39,135915,2.15
2022-10-02 18:24:03,2022-10-02 18:23:11,28608,6.06,8924006,5.70,7036489,78.84,1887517,21.16,7036489,6787017,96.45,97432,1.39,152040,2.16
2022-10-02 18:24:48,2022-10-02 18:23:11,28608,6.06,8924006,5.70,7036489,78.84,1887517,21.16,7036489,6787017,96.45,97432,1.39,152040,2.16
2022-10-02 18:25:33,2022-10-02 18:24:40,31981,6.77,9960233,6.36,7863904,78.95,2096329,21.05,7863904,7583965,96.44,109158,1.39,170781,2.17
2022-10-02 18:26:18,2022-10-02 18:24:40,31981,6.77,9960233,6.36,7863904,78.95,2096329,21.05,7863904,7583965,96.44,109158,1.39,170781,2.17
2022-10-02 18:27:04,2022-10-02 18:24:40,31981,6.77,9960233,6.36,7863904,78.95,2096329,21.05,7863904,7583965,96.44,109158,1.39,170781,2.17
2022-10-02 18:27:49,2022-10-02 18:26:29,34895,7.39,10864472,6.94,8582219,78.99,2282253,21.01,8582219,8274769,96.42,119370,1.39,188080,2.19
2022-10-02 18:28:35,2022-10-02 18:26:29,34895,7.39,10864472,6.94,8582219,78.99,2282253,21.01,8582219,8274769,96.42,119370,1.39,188080,2.19
