date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-02 18:05:58,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:05:58,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:06:10,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:06:11,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:06:12,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:06:13,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Lula,949366,41.46,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Bolsonaro,1117675,48.81,9441,1.99,3058577,1.95
2022-10-02 18:06:16,2022-10-02 17:54:54,Outros,12422,0.54,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,569,0.02,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,761,0.03,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,1203,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,1212,0.05,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,1959,0.09,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Outros,11274,0.49,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Ciro,78041,3.41,9441,1.99,3058577,1.95
2022-10-02 18:06:17,2022-10-02 17:54:54,Tebet,115315,5.04,9441,1.99,3058577,1.95
