date,date_totalizacao,cand,votos,porcentagem_votos,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores
2022-10-02 18:35:25,2022-10-02 18:32:45,Ciro,15508,2.49,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Lula,285422,45.79,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,343,0.06,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Tebet,27237,4.37,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,111,0.02,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,191,0.03,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Bolsonaro,286718,46.0,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,88,0.01,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,5426,0.87,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,2056,0.33,2818,5.64,857009,5.26
2022-10-02 18:35:25,2022-10-02 18:32:45,Outros,227,0.04,2818,5.64,857009,5.26
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,265,0.04,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,2423,0.33,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,6325,0.86,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,101,0.01,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Bolsonaro,338062,45.96,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,406,0.06,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,123,0.02,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Tebet,31976,4.35,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Lula,337301,45.86,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Ciro,18293,2.49,3332,6.67,1010572,6.21
2022-10-02 18:37:25,2022-10-02 18:35:06,Outros,225,0.03,3332,6.67,1010572,6.21
2022-10-02 18:39:25,2022-10-02 18:37:17,Bolsonaro,372576,46.08,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,282,0.03,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,2675,0.33,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,6902,0.85,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,253,0.03,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,108,0.01,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Tebet,35031,4.33,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,134,0.02,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Outros,456,0.06,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Lula,370097,45.77,3671,7.34,1110657,6.82
2022-10-02 18:39:25,2022-10-02 18:37:17,Ciro,20105,2.49,3671,7.34,1110657,6.82
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,3016,0.33,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,7741,0.85,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,125,0.01,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Bolsonaro,419858,46.15,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,286,0.03,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,315,0.03,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Tebet,39297,4.32,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,536,0.06,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Lula,415829,45.71,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Ciro,22642,2.49,4117,8.24,1247840,7.66
2022-10-02 18:41:26,2022-10-02 18:39:30,Outros,152,0.02,4117,8.24,1247840,7.66
2022-10-02 18:43:26,2022-10-02 18:42:49,Outros,368,0.03,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Outros,3577,0.33,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Outros,9138,0.85,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Outros,153,0.01,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Bolsonaro,493917,46.2,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Outros,351,0.03,4812,9.63,1462157,8.98
2022-10-02 18:43:26,2022-10-02 18:42:49,Tebet,46301,4.33,4812,9.63,1462157,8.98
