date,date_totalizacao,secoes_totalizadas,porcentagem_secoes_totalizadas,eleitores,porcentagem_eleitores,comparecimento,porcentagem_comparecimento,abstencao,porcentagem_abstencao,votos_total,votos_validos,porcentagem_votos_validos,votos_branco,porcentagem_votos_branco,votos_nulos,porcentagem_votos_nulos
2022-10-02 18:35:25,2022-10-02 18:32:45,2818,5.64,857009,5.26,654936,76.42,202073,23.58,654936,623327,95.17,11777,1.80,19832,3.03
2022-10-02 18:37:25,2022-10-02 18:35:06,3332,6.67,1010572,6.21,772686,76.46,237886,23.54,772686,735500,95.19,13817,1.79,23369,3.02
2022-10-02 18:39:25,2022-10-02 18:37:17,3671,7.34,1110657,6.82,849373,76.47,261284,23.53,849373,808619,95.20,15145,1.78,25609,3.02
2022-10-02 18:41:26,2022-10-02 18:39:30,4117,8.24,1247840,7.66,955398,76.56,292442,23.44,955398,909797,95.23,16963,1.77,28638,3.00
2022-10-02 18:43:26,2022-10-02 18:42:49,4812,9.63,1462157,8.98,1122762,76.79,339395,23.21,1122762,1068999,95.21,20061,1.79,33702,3.00
2022-10-02 18:45:26,2022-10-02 18:42:49,4812,9.63,1462157,8.98,1122762,76.79,339395,23.21,1122762,1068999,95.21,20061,1.79,33702,3.00
2022-10-02 18:47:27,2022-10-02 18:45:00,5272,10.55,1601745,9.84,1229599,76.77,372146,23.23,1229599,1170610,95.20,21909,1.78,37080,3.02
2022-10-02 18:49:29,2022-10-02 18:48:19,5771,11.55,1754881,10.78,1347696,76.80,407185,23.20,1347696,1283082,95.21,24033,1.78,40581,3.01
2022-10-02 18:51:29,2022-10-02 18:48:19,5771,11.55,1754881,10.78,1347696,76.80,407185,23.20,1347696,1283082,95.21,24033,1.78,40581,3.01
2022-10-02 18:53:30,2022-10-02 18:50:27,6262,12.53,1908534,11.72,1467840,76.91,440694,23.09,1467840,1397294,95.19,26309,1.80,44237,3.01
2022-10-02 18:55:32,2022-10-02 18:52:42,6829,13.66,2080384,12.78,1603524,77.08,476860,22.92,1603524,1526178,95.18,28863,1.80,48483,3.02
2022-10-02 18:57:32,2022-10-02 18:56:05,7758,15.52,2368697,14.55,1827697,77.16,541000,22.84,1827697,1738812,95.14,33151,1.81,55734,3.05
2022-10-02 18:59:33,2022-10-02 18:56:05,7758,15.52,2368697,14.55,1827697,77.16,541000,22.84,1827697,1738812,95.14,33151,1.81,55734,3.05
2022-10-02 19:01:34,2022-10-02 18:59:25,8455,16.92,2590526,15.91,1999549,77.19,590977,22.81,1999549,1902383,95.14,36308,1.82,60858,3.04
2022-10-02 19:03:35,2022-10-02 19:01:42,9198,18.40,2820446,17.32,2177817,77.22,642629,22.78,2177817,2071781,95.13,39574,1.82,66462,3.05
2022-10-02 19:05:35,2022-10-02 19:01:42,9198,18.40,2820446,17.32,2177817,77.22,642629,22.78,2177817,2071781,95.13,39574,1.82,66462,3.05
2022-10-02 19:07:35,2022-10-02 19:05:34,10743,21.49,3293714,20.23,2546237,77.31,747477,22.69,2546237,2422061,95.12,46121,1.81,78055,3.07
2022-10-02 19:09:36,2022-10-02 19:05:34,10743,21.49,3293714,20.23,2546237,77.31,747477,22.69,2546237,2422061,95.12,46121,1.81,78055,3.07
2022-10-02 19:11:36,2022-10-02 19:09:05,12126,24.26,3729038,22.90,2885734,77.39,843304,22.61,2885734,2744759,95.11,52213,1.81,88762,3.08
2022-10-02 19:13:36,2022-10-02 19:09:05,12126,24.26,3729038,22.90,2885734,77.39,843304,22.61,2885734,2744759,95.11,52213,1.81,88762,3.08
2022-10-02 19:15:38,2022-10-02 19:12:57,13214,26.44,4075860,25.03,3154105,77.39,921755,22.61,3154105,2999447,95.10,57047,1.81,97611,3.09
2022-10-02 19:17:38,2022-10-02 19:15:42,14109,28.23,4358073,26.76,3373509,77.41,984564,22.59,3373509,3207966,95.09,60989,1.81,104554,3.10
2022-10-02 19:19:38,2022-10-02 19:15:42,14109,28.23,4358073,26.76,3373509,77.41,984564,22.59,3373509,3207966,95.09,60989,1.81,104554,3.10
2022-10-02 19:21:39,2022-10-02 19:19:44,15669,31.35,4843985,29.75,3751132,77.44,1092853,22.56,3751132,3566506,95.08,68029,1.81,116597,3.11
2022-10-02 19:23:39,2022-10-02 19:19:44,15669,31.35,4843985,29.75,3751132,77.44,1092853,22.56,3751132,3566506,95.08,68029,1.81,116597,3.11
2022-10-02 19:25:39,2022-10-02 19:23:39,17069,34.15,5287863,32.47,4100574,77.55,1187289,22.45,4100574,3898563,95.07,74430,1.82,127581,3.11
2022-10-02 19:27:40,2022-10-02 19:23:39,17069,34.15,5287863,32.47,4100574,77.55,1187289,22.45,4100574,3898563,95.07,74430,1.82,127581,3.11
2022-10-02 19:29:40,2022-10-02 19:28:26,18539,37.09,5752432,35.33,4462354,77.57,1290078,22.43,4462354,4241708,95.06,81031,1.81,139615,3.13
2022-10-02 19:31:41,2022-10-02 19:28:26,18539,37.09,5752432,35.33,4462354,77.57,1290078,22.43,4462354,4241708,95.06,81031,1.81,139615,3.13
2022-10-02 19:33:42,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:35:42,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:37:43,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:39:43,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:41:44,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:43:44,2022-10-02 19:32:00,19766,39.55,6142608,37.72,4768663,77.63,1373945,22.37,4768663,4532827,95.05,86503,1.82,149333,3.13
2022-10-02 19:45:45,2022-10-02 19:42:50,23803,47.62,7451723,45.76,5795103,77.77,1656620,22.23,5795103,5507992,95.05,105221,1.81,181890,3.14
2022-10-02 19:47:45,2022-10-02 19:42:50,23803,47.62,7451723,45.76,5795103,77.77,1656620,22.23,5795103,5507992,95.05,105221,1.81,181890,3.14
2022-10-02 19:49:46,2022-10-02 19:47:33,25514,51.05,8012232,49.20,6233631,77.80,1778601,22.20,6233631,5924201,95.04,113276,1.81,196154,3.15
2022-10-02 19:51:46,2022-10-02 19:47:33,25514,51.05,8012232,49.20,6233631,77.80,1778601,22.20,6233631,5924201,95.04,113276,1.81,196154,3.15
2022-10-02 19:53:46,2022-10-02 19:50:38,26628,53.28,8379802,51.46,6520645,77.81,1859157,22.19,6520645,6197397,95.04,118265,1.82,204983,3.14
2022-10-02 19:55:47,2022-10-02 19:50:38,26628,53.28,8379802,51.46,6520645,77.81,1859157,22.19,6520645,6197397,95.04,118265,1.82,204983,3.14
2022-10-02 19:57:48,2022-10-02 19:54:53,28235,56.49,8914930,54.75,6938749,77.83,1976181,22.17,6938749,6594265,95.04,125821,1.81,218663,3.15
2022-10-02 19:59:48,2022-10-02 19:54:53,28235,56.49,8914930,54.75,6938749,77.83,1976181,22.17,6938749,6594265,95.04,125821,1.81,218663,3.15
2022-10-02 20:01:49,2022-10-02 19:59:19,30097,60.22,9518308,58.45,7406214,77.81,2112094,22.19,7406214,7037659,95.02,134166,1.82,234389,3.16
2022-10-02 20:03:49,2022-10-02 19:59:19,30097,60.22,9518308,58.45,7406214,77.81,2112094,22.19,7406214,7037659,95.02,134166,1.82,234389,3.16
2022-10-02 20:05:50,2022-10-02 20:04:25,32304,64.63,10243483,62.91,7970069,77.81,2273414,22.19,7970069,7573012,95.02,144312,1.81,252745,3.17
